OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
7354,3502,31/7/2021 0:00,ปากพาย,2,น้ำหัก,คีรีรัฐนิคม,สุราษฎร์ธานี,ภาคใต้,494841,1010804,47,5,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7355,3503,31/7/2021 0:00,  นิคมผัง1,10,จ.ป.ร.,กระบุรี,ระนอง,ภาคใต้,485143,1180563,47,5,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7356,3504,31/7/2021 0:00, นิคมผัง2,2,จ.ป.ร.,กระบุรี,ระนอง,ภาคใต้,485143,1180563,47,5,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7357,3505,31/7/2021 0:00,น้ำขาว,6,เทศบาลจ.ป.ร.,กระบุรี,ระนอง,ภาคใต้,487895,1172959,0,3,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7358,3506,31/7/2021 0:00,  ลำแพะ,2,ปากแจ่ม,ห้วยยอด,ตรัง,ภาคใต้,578220,851686,47,3,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7359,5084,1/9/2021 0:00,แม่ลอง,4,บ่อเหล็กลอง,ลอง,แพร่,ภาคเหนือ,578906,1995763,47,19,0,วัดปริมาณน้ำฝนได้ 19 มม.
7360,2671,13/7/2021 0:00,ปากบอก,6,บ้านร้อง,งาว,ลำปาง,ภาคเหนือ,581386,2106611,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7361,2670,13/7/2021 0:00,ปงใต้,1,บ้านปง,หางดง,เชียงใหม่,ภาคเหนือ,488270,2072292,47,7,0,ท้องฟ้าโปร่ง มีแดดออก
7362,2673,13/7/2021 0:00,  แปลงสี่แม่พืช,8,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,ภาคเหนือ,530822,1773875,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7363,2672,13/7/2021 0:00,   ผาแดง,5, บ้านร้อง, งาว, ลำปาง,ภาคเหนือ,583660,2101020,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7364,2675,13/7/2021 0:00,  ป่าแดง,13,ทัพหลวง,บ้านไร่,อุทัยธานี,ภาคเหนือ,565035,1660785,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7365,2674,13/7/2021 0:00,แม่แสลบ,19,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,573751,2231523,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7366,2677,13/7/2021 0:00,ผามูบ,7,แม่พูล,ลับแล,อุตรดิดถ์,ภาคเหนือ,607446,1959576,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7367,2676,13/7/2021 0:00,  พลำ,6,ป่าเลา,เมือง,เพชรบูรณ์,ภาคเหนือ,724958,1816332,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7368,2679,13/7/2021 0:00,  บางแก้วน้อย,1,บางแก้ว,ละอุ่น,ระนอง,ภาคใต้,476068,1126891,47,30,0,ท้องฟ้าแจ่มใส ไม่มีฝนตก
7369,2678,13/7/2021 0:00,ร่องธารเหนือ,9,ทรายขาว,พาน,เชียงราย,ภาคเหนือ,578612,2176244,47,0,0,ท้องฟ้าแจ่มใส ไม่มีฝนตก
7370,1209,9/6/2021 0:00,คลองไทร,7,นายางกลัก,เทพสถิต,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,765611,1732070,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7371,2929,19/7/2021 0:00,ดงชัย,2,ทุ่งก่อ,เวียงเชียงรุ้ง,เชียงราย,ภาคเหนือ,606307,2209259,47,0,0,ท้องฟ้าครึ้ม ตอนนี้ฝนตกหนัก
7372,2928,19/7/2021 0:00,ศรีลานนา,5,เทศบาลตำบลครึ่ง,เชียงของ,เชียงราย,ภาคเหนือ,655597,2213652,47,0,0,ท้องฟ้าครึ้ม ตอนนี้ฝนตกหนัก
7373,11536,6/1/2022 0:00,  เขาใหญ่,4,พลวงทอง,บ่อทอง,ชลบุรี,ภาคตะวันออก,785913,1465031,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
