OBJECTID,Event_ID,Geohaz_T,Geohaz_E,DATE,TIME,LATITUDE,LONGITUDE,UTM_E,UTM_N,ZONE,MAGNITUDE,DEPTH_KM,F_ZONE_T,F_ZONE_E,LOCATION,BAN,TAMBON,DISTRICT,PROVINCE,Geo_haz_T,Geo_haz_E,LS_Type_T,LS_Type_E,Effect
582,577,ดินถล่ม,Landslide,00:00.0,0:00:00,18.39801608,98.59857342,457600,2034268,47,,,,,,ห้วยส้มป่อย  ,ดอยแก้ว ,จอมทอง,เชียงใหม่,,,,,ดินไหลปิดทับถนนสายหลักทางขึ้นน้ำตกแม่เตี๊ยะ ส่งผลให้รถไม่สามารถสัญจรไปมาได้ 
21,216,หลุมยุบ,Sinkhole,00:00.0,0:00:00,7.05905118,99.80085764,588447,780353,47,,,,,,ทุ่งดินลุ่ม,ป่าแก่บ่อหิน,ทุ่งหว้า,สตูล,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 0.5 เมตร ความลึก 2 เมตร
270,262,ดินถล่ม,Landslide,00:00.0,0:00:00,18.28,100.55,663842,2021859,47N,,,,,,ส้าน,สันทะ,นาน้อย,น่าน,,,,,ดินไหลมากกว่า 10 จุด บริเวณไหล่ทางหลวงหมายเลข 2160 เส้นทางอำเภอนาน้อย-อำเภอร้องกวาง
20,8,ดินถล่ม,Landslide,00:00.0,1:00:00,18.5,98.46,442691,2045749,47,,,,,ต้นน้ำแม่แรก,แม่ยางหลวง,แม่แรก,แม่แจ่ม,เชียงใหม่,หินแกรนิต,Granite,,,มีการอพยพชาวบ้านออกจากพื้นที่จำนวน 180 ครอบครัว
559,544,ดินถล่ม,Landslide,00:00.0,0:00:00,9.74948956,98.6423873,460777,1077736,47,,,,,ควนแม่ยายม่อน ,,,พะโต๊ะ ,ชุมพร,,,,,ดินไหลปิดทับเส้นทางรถยนต์ไม่สามารถสัญจรไปมาได้ 
15,4,ดินถล่ม,Landslide,00:00.0,0:00:00,12.91,102.18,840363,1419095,47,,,,,เขาคิชฌกูฎ,,พลวง,เขาคิชฌกูฎ,จันทบุรี,หินแกรนิต,Granite,,,มีผู้เสียชีวิต 1 ราย การปศุสัตว์และพื้นที่การเกษตรเสียหายจำนวนมาก
166,167,หลุมยุบ,Sinkhole,00:00.0,0:00:00,8.10455549,99.36792583,540535,895875,47,,,,,ศูนย์ผลิตพันธุ์ยาง,หนองจูด,ดินอุดม,ลำทับ,กระบี่,หินปูน,Limestone,,,หลุมยุบกว้าง 5-6 เมตร ยาว 10 เมตร ลึก 5-6 เมตร
241,493,ดินถล่ม,Landslide,00:00.0,0:00:00,5.90172466,101.1449391,737476,652798,47N,,,,,,กม.23,ตะเนาะแมเราะ,เบตง,ยะลา,,,,,ดินไหลทับบ้านเลขที่ 119 มีผู้เสียชีวิต 1 ราย
450,507,ดินถล่ม,Landslide,00:00.0,0:00:00,17.81268981,98.14874456,409786,1969667,47N,,,,,ถนนสายบ้านห่างหลวง - บ้านนาเกียน,นาเกียน,นาเกียน,อมก๋อย,เชียงใหม่,,,,,ดินไหลปิดทับเส้นทางจราจร ไม่สามารถสัญจรได้
251,341,ดินถล่ม,Landslide,00:00.0,0:00:00,18.2,100.66,675552,2013107,47N,,,,,,เขาแก้ว,บ่อแก้ว,นาหมื่น,น่าน,,,,,ดินไหลทำให้บ้านเรือนประชาชนเสียหาย 1 หลัง
470,532,ดินถล่ม,Landslide,00:00.0,0:00:00,16.09092611,99.11621304,512428,1778996,47N,,,,,เส้นทางสายคลองแม่ลายคลองลาน-ช่องเย็น,,คลองน้ำไหล,คลองลาน,กำแพงเพชร,,,,,ดินไหลส่งผลให้สามารถใช้เส้นทางสัญจรได้ 1 ช่องทาง
374,372,ดินถล่ม,Landslide,00:00.0,0:00:00,20.24677035,99.65549904,568462,2238924,47N,,,,,,เทอดไทย,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,,,,,ดินไหลปิดทับบ้านเรือนราษฎรได้รับความเสียหายบางส่วน 2 หลัง
159,99,แผ่นดินไหว,Earthquake,00:00.0,8:55:00,19.7,99.72,575460,2178444,47,3.3,1,พะเยา,PHA YAO,,,,พาน,เชียงราย,,,,,ประชาชนตำบลธารทอง ตำบลทรายขาว อำเภอพาน และตำบลป่าก่อดำ ตำบลจอมหมอกแก้ว อำเภอแม่ลาว จังหวัดเชียงราย รับรู้ได้ถึงแรงสั่นสะเทือน
489,353,ดินถล่ม,Landslide,00:00.0,0:00:00,16.26,101.03,716948,1798771,47N,,,,,,วังเจริญ,วังชมภู,เมืองเพชรบูรณ์,เพชรบูรณ์,,,,,ดินไหลปิดทับเส้นทางถนนสายเพชรบูรณ์ – ตะพานหิน ส่งผลให้ต้นไม้ล้มขวางเส้นทางการจราจร
271,261,ดินถล่ม,Landslide,00:00.0,0:00:00,18.18,100.54,662878,2010783,47N,,,,,,ห้วยเย็น,ปิงหลวง,นาหมื่น,น่าน,,,,,ดินไหลเกิดขึ้น 2 แห่ง ห่างจากหมู่บ้านห้วยเย็นประมาณ 1 กิโลเมตร
477,352,ดินถล่ม,Landslide,00:00.0,0:00:00,18.2,97.88,381562,2012674,47N,,,,,,แม่หาร,บ้านกาศ,แม่สะเรียง,แม่ฮ่องสอน,,,,,ดินไหลทำให้บ้านเสียหาย 3 หลัง และดินโคลนยังไหลมาทับถนน คสล.ระหว่างบ้านแม่จ๋อน-แม่หาร
427,508,ดินถล่ม,Landslide,00:00.0,0:00:00,14.67758457,98.39169285,434504,1622754,47N,,,,,ถนนสายบ้านไร่ – ปิล๊อก,,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,,,,,ดินไหลปิดทับเส้นทางจราจร ไม่สามารถสัญจรได้
